N_tume,I_meses,Esp,Parc_m2,N_arv,DAP_cm,H_m,Cod
2,24,E_saligna,432,27,9,8,
2,24,E_saligna,432,28,7,7,
2,24,E_saligna,432,29,9,6.5,
2,24,E_saligna,432,30,2.5,5,
2,24,E_saligna,432,31,5,6.5,
2,24,E_saligna,432,32,6,7,
2,24,E_saligna,432,33,5,6,
2,24,E_saligna,432,34,8.5,9,
2,24,E_saligna,432,35,7.5,9,
2,24,E_saligna,432,36,6,7,
2,24,E_saligna,432,37,4.5,7.5,
2,24,E_saligna,432,38,7.5,8.5,
2,24,E_saligna,432,39,10,9.5,
2,24,E_saligna,432,40,6.5,7,
2,24,E_saligna,432,41,2,4,
2,24,E_saligna,432,42,7.5,8,
2,24,E_saligna,432,43,8,8.5,
2,24,E_saligna,432,44,5,7,
2,24,E_saligna,432,45,9,9,
2,24,E_saligna,432,46,6,7,
2,24,E_saligna,432,47,7,8,
2,24,E_saligna,432,48,4,5,
2,24,E_saligna,432,49,5.5,6,
2,24,E_saligna,432,50,7.5,7.5,
2,24,E_saligna,432,51,6,7,
2,24,E_saligna,432,52,7,7,
2,24,E_saligna,432,53,6,6.5,
2,24,E_saligna,432,54,9,8,
2,24,E_saligna,432,55,7,8,
2,24,E_saligna,432,56,0,,4
2,24,E_saligna,432,57,5,7,
2,24,E_saligna,432,58,8,8,
2,24,E_saligna,432,59,5.5,7,
2,24,E_saligna,432,60,9,8.5,
2,24,E_saligna,432,61,7.5,8.5,
2,24,E_saligna,432,62,8.5,8.5,
2,24,E_saligna,432,63,3,6,
2,24,E_saligna,432,64,8.5,8.5,
2,24,E_saligna,432,65,7,7.5,
2,24,E_saligna,432,66,6,7,
2,24,E_saligna,432,67,7.5,8,
2,24,E_saligna,432,68,4.5,6.5,
2,24,E_saligna,432,69,8,8.5,
2,24,E_saligna,432,70,8.5,8.5,
2,24,E_saligna,432,71,7,8,
2,24,E_saligna,432,72,6,7,
2,24,E_tereticornis,432,1,6.5,6.5,
2,24,E_tereticornis,432,2,7,6.5,
2,24,E_tereticornis,432,3,7,7.5,
2,24,E_tereticornis,432,4,7,8,
2,24,E_tereticornis,432,5,7.5,8,
2,24,E_tereticornis,432,6,5,6,
2,24,E_tereticornis,432,7,7.5,7.5,
2,24,E_tereticornis,432,8,10,,
2,24,E_tereticornis,432,9,1,9,
2,24,E_tereticornis,432,10,6,1.8,
2,24,E_tereticornis,432,11,6,7,
2,24,E_tereticornis,432,12,6.5,6.5,
2,24,E_tereticornis,432,13,8,7.5,
2,24,E_tereticornis,432,14,4,8,
2,24,E_tereticornis,432,15,8.5,5.5,
2,24,E_tereticornis,432,16,7.5,8,
2,24,E_tereticornis,432,17,8,7.5,
2,24,E_tereticornis,432,18,5.5,6.5,
2,24,E_tereticornis,432,19,8,8,
2,24,E_tereticornis,432,20,9,9,
2,24,E_tereticornis,432,21,7.5,8.5,
2,24,E_tereticornis,432,22,8,10,
2,24,E_tereticornis,432,23,7,7.5,
2,24,E_tereticornis,432,24,7.5,8.5,
2,24,E_tereticornis,432,25,8,8,
2,24,E_tereticornis,432,26,6,7,
2,24,E_tereticornis,432,27,6.5,7.5,
2,24,E_tereticornis,432,28,6.5,7,
2,24,E_tereticornis,432,29,8.5,8,
2,24,E_tereticornis,432,30,7,8,
2,24,E_tereticornis,432,31,9,9,
2,24,E_tereticornis,432,32,7,7,
2,24,E_tereticornis,432,33,7.5,8,
2,24,E_tereticornis,432,34,7,7,
2,24,E_tereticornis,432,35,6,6,
2,24,E_tereticornis,432,36,8,7.5,
2,24,E_tereticornis,432,37,5,5.5,
2,24,E_tereticornis,432,38,4.5,6.5,
2,24,E_tereticornis,432,39,7.5,8,
2,24,E_tereticornis,432,40,9,10,
2,24,E_tereticornis,432,41,6.5,7,
2,24,E_tereticornis,432,42,7,7,
2,24,E_tereticornis,432,43,10,9,
2,24,E_tereticornis,432,44,6.5,7.5,
2,24,E_tereticornis,432,45,7,7,
2,24,E_tereticornis,432,46,7,8,
2,24,E_tereticornis,432,47,2.5,4,
2,24,E_tereticornis,432,48,8,8.5,
2,24,E_tereticornis,432,49,6.5,7.5,
2,24,E_tereticornis,432,50,4,6.5,
2,24,E_tereticornis,432,51,8,7.5,
2,24,E_tereticornis,432,52,8,8,
2,24,E_tereticornis,432,53,3.5,4.5,
2,24,E_tereticornis,432,54,7.5,8,
2,24,E_tereticornis,432,55,7,7.5,
2,24,E_tereticornis,432,56,8.5,8,
2,24,E_tereticornis,432,57,3,3.5,
2,24,E_tereticornis,432,58,5.5,6,
2,24,E_tereticornis,432,59,9.5,8.5,
2,24,E_tereticornis,432,60,7,6.5,
2,24,E_tereticornis,432,61,3.5,5,
2,24,E_tereticornis,432,62,9,8,
2,24,E_tereticornis,432,63,8,8,
2,24,E_tereticornis,432,64,9,8,
2,24,E_tereticornis,432,65,8,8,
2,24,E_tereticornis,432,66,4,4,
2,24,E_tereticornis,432,67,8.5,8,
2,24,E_tereticornis,432,68,7.5,7.5,
2,24,E_tereticornis,432,69,7.5,7.5,
2,24,E_tereticornis,432,70,8,8,
2,24,E_tereticornis,432,71,6.5,8,
2,24,E_tereticornis,432,72,8,8,
2,24,E_urophylla_grandis,432,1,8,8.5,
2,24,E_urophylla_grandis,432,2,8.5,8.5,
2,24,E_urophylla_grandis,432,3,6,8,
2,24,E_urophylla_grandis,432,4,5.5,8,
2,24,E_urophylla_grandis,432,5,7,8.5,
2,24,E_urophylla_grandis,432,6,6.5,8.5,
2,24,E_urophylla_grandis,432,7,7.5,7.5,
2,24,E_urophylla_grandis,432,8,5.5,8,
2,24,E_urophylla_grandis,432,9,6.5,8,
2,24,E_urophylla_grandis,432,10,6.5,8.5,
2,24,E_urophylla_grandis,432,11,5.5,8,
2,24,E_urophylla_grandis,432,12,7.5,8.5,
2,24,E_urophylla_grandis,432,13,7,8.5,
2,24,E_urophylla_grandis,432,14,7,8.5,
2,24,E_urophylla_grandis,432,15,6,8,
2,24,E_urophylla_grandis,432,16,7.5,7.5,
2,24,E_urophylla_grandis,432,17,6.5,7.5,
2,24,E_urophylla_grandis,432,18,5.5,7,
2,24,E_urophylla_grandis,432,19,5,7,
2,24,E_urophylla_grandis,432,20,5.5,7,
2,24,E_urophylla_grandis,432,21,5.5,8,
2,24,E_urophylla_grandis,432,22,5.5,7.5,
2,24,E_urophylla_grandis,432,23,7,8.5,
2,24,E_urophylla_grandis,432,24,6.5,8.5,
2,24,E_urophylla_grandis,432,25,6,8.5,
2,24,E_urophylla_grandis,432,26,6.5,9.5,
2,24,E_urophylla_grandis,432,27,7,9.5,
2,24,E_urophylla_grandis,432,28,5.5,8,
2,24,E_urophylla_grandis,432,29,6,8.5,
2,24,E_urophylla_grandis,432,30,7.5,9.5,
2,24,E_urophylla_grandis,432,31,8,9,
2,24,E_urophylla_grandis,432,32,7.5,8.5,
2,24,E_urophylla_grandis,432,33,3,5.5,
2,24,E_urophylla_grandis,432,34,6.5,7.5,
2,24,E_urophylla_grandis,432,35,6,7.5,
2,24,E_urophylla_grandis,432,36,6,7,
2,24,E_urophylla_grandis,432,37,5,6.5,
2,24,E_urophylla_grandis,432,38,6,7.5,
2,24,E_urophylla_grandis,432,39,6.5,8.5,
2,24,E_urophylla_grandis,432,40,7,9.5,
2,24,E_urophylla_grandis,432,41,6.5,8.5,
2,24,E_urophylla_grandis,432,42,6,8.5,
2,24,E_urophylla_grandis,432,43,8,10,
2,24,E_urophylla_grandis,432,44,7.5,9.5,
2,24,E_urophylla_grandis,432,45,6.5,8,
2,24,E_urophylla_grandis,432,46,6.5,8.5,
2,24,E_urophylla_grandis,432,47,7.5,9.5,
2,24,E_urophylla_grandis,432,48,7.5,8,
2,24,E_urophylla_grandis,432,49,8,9.5,
2,24,E_urophylla_grandis,432,50,6,7.5,
